username,rating,language,title,review_text,date,country,sentiment,summary,sentiment_clean
antoine verhelst,1,nl,Eindeloos wachten aan telefoon,"Eindeloos wachten aan telefoon, na verbinding stelt men allerlei vragen om vervolgens nog eens door te verbinden met een andere persoon die eerst vooraleer te antwoorden weer dezelfde vragen stelt. Plotseling is dan de lijn verbroken maar Keytrade heeft dan niet de beleefdheid om zelf eens terug te bellen en moet ge opnieuw beginnen aan de ellende. Het is genoeg geweest , ik ga alles overboeken naar een andere bank/broker",2024-10-11,BE,Negative,"The customer finds the service impersonal and unresponsive to their questions, describing it as a ""plot."" They also express dissatisfaction with the delayed response from Keytrade.",Negative
Bolia client ,1,nl,ongelooflijk slechte customer service,"ongelooflijk slechte customer service. ik wacht al 2.5 maanden op een documentje voor de belastingen.  Al ongeveer 15 mails gestuurd.  2 keer 45 min van mijn leven gespendeerd aan telefoontjes met Keytrade.  Elke keer zeggen ze dat ze er werk van maken en vervolgens gebeurd er niets.  Ben waarschijnlijk 20 jaar klant, maar met deze service zal ik een alternatief zoeken.",2024-10-09,CH,Neutral,The customer is satisfied with the slow response time but expresses an interest in alternative options.,Neutral
Jan,5,nl,Keyplan,Keyplan is heel gebruiksvriendelijk.,2024-10-07,BE,Positive,Keyplan is heel gebruiksvriendelijk.,Positive
Amanda Bouwens,1,nl,Is er een niet Franse medewerkers  want…,"Is er een niet Franse medewerkers  want als ik bel word alles in Frans gezegt 
Ik heb al een paar mail gestuurd  maar geen antwoord ik probeer te bellen alles in het Frans ",2024-10-04,BE,1. **Sentiment:** Neutral,"2. **Summary:** The customer is expressing that they have received several emails but no response, indicating a neutral sentiment.",Neutral
Chris Vandewalle,1,nl,Tracht reeds meerdere dagen de helpdesk…,"Tracht reeds meerdere dagen de helpdesk te bereiken, echter zonder succes.  Ga vandaag nog al mijn beleggingen stopzetten bij hen omdat ik geen vertrouwen meer heb in een beleggingsbank die geen helpdesk heeft !  Schande !!!",2024-09-27,BE,Negative,The customer was disappointed and frustrated with the lack of help desk assistance. They expressed relief at not needing to deal with their concerns through a different support system due to poor customer service from the helpdesk.,Negative
Isabelle,2,nl,schadeclaims indienen lukt niet,"ik probeer al enkele weken een schadeclaim in te dienen. 
echter worden al mijn bijlagen tegengehouden door de security van de bank en kunnen zij zelf geen beveiligde FTP of andere opstellen zodat ik mijn documenten kan delen. mijn bestanden zijn zelfs gewone pdfs van 0.5MB max. geen idee waarom deze worden tegengehouden. 
resultaat: we zijn nu 2 maanden verder en er is zelfs nog geen dossier opgesteld. zeer jammer :(
",2024-09-25,BE,Negative,"The customer had trouble with a bank service and ended up losing all their documents due to an undetected FTP vulnerability. As a result, they are now two months behind schedule without any documentation.",Negative
Wouter V,1,nl,In augustus een gezamenlijke rekening…,"In augustus een gezamenlijke rekening geopend. Echter tot op de dag van vandaag lukt het ons niet om de kaart van mijn vrouw te activeren. Het lukt ook niet om met mijn eigen kaart te betalen in de winkel aangezien de pincode niet gevalideerd wordt (en nee het ligt niet aan het feit dat ik de verkeerde code ingeef). Een tweetal weken geleden via mail contact opgenomen met Keytrade voor dit op te lossen, echter tot op de dag van vandaag geen reactie gekregen. Telefonisch al tot 2x toe meer dan 30 minuten in de wachtrij gestaan.... gewoon onbegrijpelijk. Bij een laatste reminder via mail kregen we het flauwe excuus dat ze onderbezet zijn door ziekte en dat hun medewerkers de toestroom aan mails niet meer gebolwerkt krijgen. Regelrechte schande voor de dienstverlening van een bank... Mij zijn ze alvast als klant kwijt. Dus één tip blijf hier weg.",2024-09-15,BE,1. **Sentiment:** Neutral,"2. **Summary:** The customer found their product well-reviewed and appreciated the overall positive feedback despite minor issues with an email notification. They also mentioned a few negative points but decided to address them, believing the quality of service was high enough to overcome these challenges.",Neutral
Hans Verhoeven,1,nl,"App stopte ineens met werken, helpdesk onbereikbaar.","App stopte ineens met werken.
Met hulp van helpdesk een uur geprobeerd om het op te lossen, uiteindelijk via brief een code aangevraagd.
Nieuwe code kan alleen gebruikt worden na telefoon naar de helpdesk, maar daar ben ik na een halve dag bellen niet binnengeraakt.
Ondertussen al een week zonder app en al uren aan de telefoon gehangen zonder antwoord.",2024-09-13,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer had issues with their app, experiencing prolonged downtime due to a helpdesk issue and not being able to use the app even after receiving assistance, until the next day when the problem occurred again.",Negative
Evh,1,nl,Zeer onbeleefde mijnheer ,"Zeer onbeleefde mijnheer aan de telefoon. Ik had een vraag over rekening van mijn man. Hij wilde mij daarover niet antwoorden. Toen ik een algemene vraag wou stellen, want ik ben ook klant, wilde hij nog geen antwoord geven.",2024-09-13,BE,Positive,"The customer was satisfied with their experience over the phone and had a question which the store didn't answer, leading to a friendly conversation about patience.",Positive
Kim,1,nl,Geen service,"Mijn dochter kan na bijna 1 jaar nog steeds niet op haar eigen app. Ik loop er niet meer achter, en wij zelf zullen zeker niet overstappen naar Keytrade Bank.
Daarnaast worden e-mails zeer traag beantwoord, dus moet je er al zeker niet zijn voor dringende zaken!",2024-09-12,BE,N/A,,N/a
Stephane,1,nl,Geduld ,"Geduld , geduld vragen ze want al de medewerkers zijn in gesprek. Na 3 pogingen en in totaal 70 min gewacht heb ik er de brui aan gegeven en mail gestuurd. Wat je dan wel onmiddellijk krijgt is een een bericht dat ze ze onderbezet zijn owv. ziekte. . Ik kan intussen nog altijd niet inloggen ....
Shame on Keytrade bank ! ",2024-09-12,BE,Negative,"The customer is disappointed with Keytrade bank and has a negative experience. They felt rushed and did not receive their report promptly, leading to frustration.",Negative
Patric ,1,nl,Service keytradebank,"Klantenservice  is waardeloos zeer lang wachttijden en dat verschillende malen na 32 minuten de telefoon maar opgelegd .
App werkt niet, bankkaart word geweigerd in winkels enz.
",2024-09-11,BE,Negative,"The Klantenservice was bad because the technician was long-winded and made mistakes like disconnecting the phone at 32 minutes, and the machine stopped working after a bankcard had been processed.",Negative
joshepha stijns,1,nl,Ik probeer al bijna 10 dagen om mijn…,Ik probeer al bijna 10 dagen om mijn geld terug te krijgen maar vang nog steeds bot...op e-mails wordt niet gereageerd alleen dat ze met de email aan het werk gaan en dan ...niets meer !!!! Blijf zo ver mogelijk weg van deze bank want je weet wel wanneer je uw geld afgeeft maar terug krijgen is een groot probleem !!! Joshepa stijns  Mol,2024-09-10,BE,Negative,"The customer is unhappy with a banking service that fails to notify them when they receive money back, causing inconvenience and dissatisfaction.",Negative
Jef M,4,nl,Ondertussen geholpen,"Ik kan sedert een week niet meer inloggen in mijn bank.
Reeds 3 x heb ik getracht de helpdesk te bereiken, maar zonder succes.  Het bandje dat men laat horen (enkel in het frans????)  zegt steeds dat alle medewerkers bezet zijn.  Nu terug meer dan 12 minuten op wacht.   Een mail die ik vorige week stuurde, bleef onbeantwoord.   
Ondertussen werd ik vandaag op 18/9 vriendelijk, correct en goed geholpen door de persoon van de helpdesk",2024-09-10,BE,Negative,"The customer had issues logging into their bank account for multiple weeks and felt unsupported by the helpdesk, with a complaint about an unrelated issue that delayed them from getting assistance. They were relieved to be contacted on time but noted frustration due to the multiple escalations before reaching someone who could assist.",Negative
R. Pape,1,nl,Keytrade bank reageert niet en is onbereikbaar!,Keytrade bank reageert zelfs na 2 herinneringen niet op mijn email.  Hierdoor blijft het nu al 2 weken volledig onduidelijk wat er met een transactie aan de hand is. Telefonisch contact opnemen is pas mogelijk indien je bereid bent om eerst een half uur tot 3 kwartier naar een wachtmuziekje te luisteren.  Vervolgens krijg je een medewerker aan de lijn die je enkel maar kan aanraden opnieuw een e-mail te sturen! Ik wordt er gewoon radeloos van! Met dergelijke bank kun je gewoon niet werken.,2024-09-06,BE,Negative,"The customer is dissatisfied with Keytrade Bank's delayed responses and unhelpful telephone assistance. They feel excluded, as they couldn't reach the bank at first within a half hour to three weeks before switching to another service provider.",Negative
MARIO,3,nl,Al ettelijke jaren klant vanwege de…,Al ettelijke jaren klant vanwege de beursverrichtingen maar de dienstverlening is dramatisch. Een dikke week geleden  online info gevraagd ivm een overschrijving van een buitengewoon groot bedrag (aankoop dure woning). Update: inmiddels  hebben ze na  de  publicatie hier dan toch gereageerd. Rating is  aangepast.,2024-09-03,BE,Negative,"The customer had a negative experience because they felt the service was dramatic and exaggerated, with no credible information. They also disliked the fast response of updates after making changes or promotions online.",Negative
Robin,1,nl,Rekening openen is blijkbaar onmogelijk,"Sinds midden juni een rekening proberen openen, we zijn nu eind augustus en ik heb nog steeds geen nieuws of rekening. Blijkbaar hebben ze klanten genoeg. Berichten naar de helpdesk geven als antwoord: gelieve nog even geduld te hebben of we kijken het na. Nog nooit meegemaakt… ",2024-08-24,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer had an issue with a proberen openen (probe devices not working) and was disappointed to find no new information or help available at the helpdesk, expecting patience but not getting it.",Negative
Vandyck,1,nl,Geen reactie,"Ik heb nu al drie weken geleden gevraagd om mijn beursrekening op te zeggen volgens hun voorwaarden. Ze doen niks en reageren niet. Geen telefgoontje, geen mail... Niks. Wellicht ga ik binnenkort volledig weg bij hen. Slechte bank.
",2024-08-21,BE,Negative,"The customer did not like the service, found it disappointing, and had issues with communication methods. They were satisfied with their overall experience but expressed dissatisfaction.",Negative
dirk belis,2,nl,Ben al jaren klant en ik had vroeger…,"Ben al jaren klant en ik had vroeger totaal geen! klachten,maar! sinds men het programma heeft veranderd voor trading en andere is alles zwaar achteruit gegaan op alles! werking,snelheid antwoorden,service etc etc . Mijn persoonlijke banking reeds lang geleden verhuist en nu nog alleen met trading. Het enige dat mij nog tegenhoud zijn de schandalige kosten om je aandelen te verhuizen. Maar als dit nog lang gaat duren verhuis ik heel de boel! ",2024-08-15,BE,Positive,The customer is satisfied with Ben Al Jaren Klant and appreciates its improvements over time for trading and other services.,Positive
Martin,1,nl,Kan geen aankopen meer doen van aandelen,"Kan geen aankopen meer doen van aandelen met iPad. Probleem sleept al twee maanden aan. Net een gemiste oproep gehad van Keytrade. Tot 2 x toe bel ik terug met de vraag mij door te verbinden met persoon met wie ik converseer per mail. Ik wordt echter niet doorverbonden, ik moet maar een mail schrijven. Je komt dan op de rol en kan telkens een week wachten op antwoord. Service en toegankelijkheid zijn dramatisch. Wist niet dat dit nog bestond.",2024-08-09,BE,N/A,"2. **Summary**: The customer is dissatisfied with the iPad's performance after two months, stating it doesn't meet their expectations and is a poor key trade product. They also mention not being able to effectively communicate with people as they often write emails. Their service and overall experience are described as dramatic, lacking in both service and functionality.",N/a
Bram De Vos,1,nl,Je doet een aanvraag en hoort er niets…,"Je doet een aanvraag en hoort er niets meer van. Je vraagt dan feedback en krijgt GEEN feedback. Je belt dan en dan zijn ze nog eens ARROGANT. Niet aansluiten bij Keytradebank. 

Steeds arrogante firma",2024-08-03,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is dissatisfied with the product's performance and feels mistreated by Keytradebank, describing it as arrogant and firm. They do not appreciate the feedback provided by Keytradebank.",Negative
Hans Vandepitte,5,nl,Gratis en eenvoudig ,"Gratis en eenvoudig 
Geen probleem",2024-08-03,BE,Positive,The customer found the service to be free and convenient.,Positive
a ba,1,nl,De medewerkers liegen,De medewerkers liegen. Geen 50 euro gekregen omdat ik blijkbaar de promocode niet ingaf. Dus heb er meer dan 6 keer voor moeten bellen en telkens zeiden ze dat het in orde ging komen. Inmiddels langer dan een maand later en nog niets gekregen. Ik heb tijd  en geld verspilt met telkens te moeten bellen. toen ik de voorlaatste keer belde zeiden ze tegen mij dat ze de 50 euro zouden storten. Dit gebeurde niet dus heb ik weer een week later gebeld en zeiden ze me dat ze het niet gingen storten omdat ik de code ben vergeten in te geven. Ze hebben me zo vaak gezegd dat de storting ging gebeuren en dan pas na de 7de keer gebeld te hebben zeiden ze dat ze de storting niet zouden doen. Ze zijn niet te vertrouwen. ,2024-07-29,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is dissatisfied with their experience due to delays, incorrect promotions, and dissatisfaction with the refund process.",Negative
Asad,5,nl,Vriendelijke service met lange wachttijden,"Ik heb af en toe problemen met bankieren en dan zijn ze wel goed bereikbaar via telefoon. De wachttijd is altijd heel erg lang (soms meer dan een uur) maar ze helpen je wel vlot verder. Ook altijd heel vriendelijk. Mailen is afgeraden voor dringende zaken, ze mailen niet snel terug.",2024-07-04,BE,N/A,,N/a
Eric Zwiekhorst,1,nl,"Heel slecht telefonisch ontvangen, niet geholpen","Ik belde het nummer +32 8 679 90 00 en kreeg een man aan de lijn die absoluut niet wilde luisteren naar wat ik te zeggen had, hij herhaalde maar dat niet naar hem luisterde en dat ik een inlogcode nodig had en als ik zeg die heb ik zegt hij meneer als u mij onderbreekt leg ik af. en dat heeft hij dan ook gedaan nadat ik nogmaals aangaf de inlog code te hebben..",2024-06-21,NL,1. **Sentiment:** Negative,"2. **Summary:** The customer found the product to be ""not wilde luisteren naar wat ik te zeggen had,"" meaning it did not meet their expectations, and there were other issues with logging in. They mentioned a lack of code verification, indicating possible functionality problems.",Negative
Marc Ras,1,nl,Keytrade & Payconiq,"Na een lange wachttijd eindelijk een medewerker aan de lijn gehad met de vraag waarom mijn kaart niet aan Payconiq gelinkt wordt. Uiteindelijk krijg je een email met de nodige uitleg en het verzoek om terug te bellen als het niet lukt. Opnieuw kon de kaart niet gelinkt worden en dus opnieuw gebeld. Een ander medewerker wist dan te vertellen dat er een probleem is met de relatie Payconiq en Keytradebank. Er volgde een heel omslachtige, onbegrijpelijke uitleg ... met als resultaat : gewoon afwachten tot het probleem opgelost is. ",2024-06-06,BE,1. **Sentiment:** Negative,,Negative
Andr� Gyssens,1,nl,Rekeningen afsluiten.,"Rekeningen afsluiten.
TF 026799000  geen reactie ""al onze lijnen zijn bezet""
drie keer opgeroepen geen teken van leven +- 120 min al gebeld. Verschillende mails gedaan geen reactie. Ik ben ten einde raad en al mijne tijd aan verspild. IK zal uiteindelijk dit moeten oplossen via een aangetekend schrijven of via testaankoop een klacht indienen. Dit probleem is al vanaf 13/02/2024 aan de gang. Moet er nog zand zijn??? Klantenservice onder nul.",2024-06-05,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is dissatisfied with the product, as they experienced issues such as slow delivery times (3 days) and multiple failed attempts to contact customer service. They also suggest that their issue might not have been properly addressed by the company.",Negative
Diane,4,nl,Vlotte werking,Vlotte werking; mooie rente; goed overzicht bij de diverse deelrubrieken.,2024-06-03,BE,Positive,The customer enjoyed their work and found diverse deals beneficial.,Positive
Fred Flinstone,1,nl,Geen hulp,"Had per ongeluk een overschrijving gedaan naar verkeerde bankrekening. Naar hun helpdesk gebeld en gevraagd of ze me konden helpen met het bedrag terug te vorderen. Het antwoord was neen, tot als ik zei dat ze wettelijk verplicht zijn hiervoor een dossier te openen en hiervoor al het mogelijke doen. Toen konden ze plots wel een dossier openen en gingen ze mij binnen de 48u op de hoogte houden? Tot op heden niets gezien of gehoord. Gelukkig was de andere rekeninghouder zo vriendelijk om het bedrag meteen terug te storten. ",2024-06-03,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer had a negative experience due to an oversight that led them to contact the bank's helpdesk, resulting in unhelpful responses and delays. They feel frustrated when they have to deal with someone who isn't very helpful and are inconvenienced by long wait times.",Negative
Freddy,5,nl,Eenvoudig en voordelig,"Eenvoudig en voordelig 
",2024-06-01,BE,Positive,"The customer found it ""evoudig"" (outstanding) and ""voordelig"" (very good).",Positive
Nelly,5,nl,Omdat alles verliep zoals ik verwachtte.,Omdat alles verliep zoals ik verwachtte. ,2024-05-31,BE,Negative,The customer regrets using the service.,Negative
Jean-Pierre De Wolf,1,nl,Bij sommige banken/brokers geef je…Keytrade forever?,"Bij sommige banken/brokers geef je liever geen ster dan 1 ster...dit is voor Keytrade Bank het geval.
Klant sinds 2007.
Sinds de overname door Crédit Mutuel Arkéa in 2016 is dit geëvolueerd van beste broker naar probleembroker.
Zelf werk ik met een marginaccount.
Wat loopt er nu allemaal verkeerd?
A:Sinds meer dan een jaar kan je geen interne overschrijvingen uitvoeren van de ene interne rekening naar de andere...laat staan overschrijvingen naar een andere externe rekening.
B:aan-verkoop valuta USD/Euro/USD is ook al onmogelijk sinds meer dan een jaar.
C:hun uitleg ...onze ICT zoekt naar een oplossing maar vinden ze niet...gevolg ze hebben beslist om deze dienst(kredieten via margins) te annuleren...wegens gebrek aan klanten.
Leuk ...ze maken nu reclame met woonleningen...dus als er niet genoeg klanten meer zijn stoppen ze deze dienst ook waarschijnlijk...moet je dan je huis verkopen?
D:hun prijsbepalingen (GAK) bepalen ze via APP...waar aan-/verkoopkosten niet berekend zijn...laat staan de juiste berekeningswaarde.
E:als je overschrijvingen wilt laten uitvoeren moet je een bericht sturen naar Credit Keytrade omdat ze toestemming moeten geven...na een week zijn deze nog niet uitgevoerd.
F:telefonisch contact: een ramp...ooit meegemaakt dat je meer dan dertig minuten moet wachten. 
",2024-05-26,BE,N/A,N/A,N/a
Harouna Sangare,1,nl,Betreft: trage en onvolledige levering van inloggegevens,"



Onlangs heb ik online een rekening bij uw bank geopend. Na ontvangst van een bevestigingsmail ging ik ervan uit dat alles in orde was. Er werd aangegeven dat ik een brief zou ontvangen met de inloggegevens en een QR-code. Na drie weken wachten was er echter nog steeds niets in mijn brievenbus aangekomen.

Hierop heb ik contact opgenomen met uw klantenservice. Zij boden een oplossing aan en stuurden een nieuwe brief. Deze brief arriveerde na een lange week eindelijk, maar tot mijn grote teleurstelling bevatte deze geen herstelcode, waardoor ik niet kon inloggen in de app.

Ik ben zeer ontevreden over deze gang van zaken. Het proces heeft veel te lang geduurd en de communicatie was gebrekkig. Daarnaast is het feit dat de tweede brief opnieuw onvolledig was, zeer frustrerend. Deze situatie heeft mij onnodig veel tijd en moeite gekost en heeft mijn vertrouwen in uw dienstverlening geschaad.

Ik verzoek u dringend om deze kwestie zo spoedig mogelijk op te lossen. Graag ontvang ik per direct de benodigde herstelcode zodat ik eindelijk toegang kan krijgen tot mijn account. Tevens verwacht ik een verklaring en een passende compensatie voor de geleden ongemakken.

Ik zie uw reactie met interesse tegemoet.



",2024-05-23,BE,1. **Sentiment:** Positive,"2. **Summary:** The customer had a positive experience with their bank's online banking service, as they received a confirmation email without any issues, and were able to proceed with the required steps by contacting the contact center. They appreciated the prompt response and updated information provided about the missed code and incorrect QR-code, which prevented them from losing access to their account quickly. The customer expressed interest in further communication on this issue.",Positive
mdpa,5,nl,Fraude gebeurt met mijn kredietkaart…,Fraude gebeurt met mijn kredietkaart voor een aanzienlijk bedrag met 3 cijfers. Keytradebank heeft mij volledig vergoed. Ik lees daarnet dat maar 1 op 3 slachtoffers worden vergoed door de bank. Proficiat ,2024-05-19,BE,N/A,,N/a
Erwin,5,nl,De enige bank waar je geld krijgt bij het gebruik van je rekening,"Al jaren tevreden klant. Een bank die je niet laat betalen voor het beheer van je eigen geld. App is beter geworden, maar nog niet optimaal. Jammer dat de functionaliteit met Payconic niet meer werkt zoals voorheen. Al bij al zeer tevreden.",2024-05-18,BE,Negative,"The customer is dissatisfied with the bank's inability to accept their own money and notes, even though the app performs well. They also mention issues with Payconic functionality.",Negative
Jan Sijsmans,1,nl,Extreem slechte klantenservice,"Extreem trage, slechte en ongeinteresseerde klantenservice!!

Het duurde vier (4!) maanden alvorens ik toegang hersteld had nadat ik m'n inloggegevens kwijt was.
Deze vertragingen waren voor 100% te wijten aan Keytrade Bank.

Tientallen telefoontjes en emails zonder antwoord - absoluut te vermijden zodra je ook maar iets nodig hebt van de klantendienst!!",2024-05-17,GB,Positive,The customer had excellent service and waited patiently for a response during the four months they interacted with KeyTrade Bank.,Positive
Edith,1,nl,Problemen met bankkaart,Problemen met bankkaart en nog een aantal dingen. Klacht moeten indienen bij ombudsfin. Weinig of geen respons van Keytrade. Zeer slechte service,2024-05-13,BE,1. **Sentiment:** Negative,"2. **Summary:** The review expresses dissatisfaction with issues related to the bank's credit card and key management, mentioning that customers should contact an ombudsman for help. The service is described as very poor, characterized by poor responses from Keytrade and subpar customer service overall.",Negative
FD,2,nl,Ik kan niet via qr code betalen.,"Ik kan niet via qr code betalen.
Vb:qr code aangemaakt met verzoek tot betaling aangemaakt door Pnb Fortis app.
Wordt niet gelezen door Keytrade scanner.
Bij betalingen bij winkeliers die geen payconic app.gebruiken dien ik dan casch te betalen.
Deze casch heb ik dan niet altijd bij wat dan voor problemen zorgd.



",2024-05-07,BE,N/A,Summaries: Ik kan niet via qr code betalen,N/a
Jan-P. Vermeersch,5,nl,vlotte werking,vlotte werking,2024-05-03,BE,Negative,The customer is expressing dissatisfaction with their work.,Negative
Raymond,5,nl,Website,Duidelijke website,2024-05-02,BE,Positive,The customer found the website delightful.,Positive
GUY VAN DEN BOSSCHE,4,nl,Handig voor overal via de app in te…,Handig voor overal via de app in te spelen op de markt,2024-05-02,BE,Positive,Handig voor overal via de app in te spelen op de markt,Positive
Klant,4,nl,Ik heb geen problemen,Ik heb geen problemen. Winkelen met de kaart en nog een beetje verdienen is top. Ik moet het van de kleine dingen hebben ,2024-05-02,BE,Positive,The customer had no issues with the product and appreciated the unique design.,Positive
Consumer,1,nl,Teleurstellende ervaring met gebrekkige service en vertraagde transacties bij  Keytrade,"Na een teleurstellende ervaring met deze zogenaamde « bank » voel ik me genoodzaakt mijn ervaring te delen. Ik heb recentelijk geprobeerd mijn aandelen te verkopen, maar de service was ronduit verschrikkelijk. Na weken van wachten en meerdere keren contact opnemen met de klantenservice, ben ik nog steeds niet in staat geweest om mijn geld te ontvangen.

Elke keer als ik contact opnam met de klantenservice kreeg ik tegenstrijdige informatie en beloftes die niet werden nagekomen. Het gebrek aan communicatie en de onwil om mijn probleem serieus te nemen, heeft geleid tot aanzienlijk financieel verlies en frustratie aan mijn kant.

Ik ben diep teleurgesteld in de incompetentie van deze bank en hun onvermogen om klanttevredenheid te waarborgen. Ik raad ten zeerste af om zaken te doen met Keytrade, tenzij u bereid bent om te worstelen met vertragingen, verwarring en gebrek aan service.

Het is duidelijk dat deze bank niet de beloften nakomt die ze maken in hun marketingmateriaal en ik zal mijn financiële zaken elders afhandelen in de toekomst.",2024-04-22,BE,Negative,"The customer had a poor experience with the bank. They felt neglected due to frequent calls and lack of timely responses from the customer service. Complaints arose regarding unclear information received and unresponsive issues, causing frustration. The reviewer believes the bank's marketing material doesn't accurately reflect their services and advises against making financial decisions there without proper investigation.",Negative
Wendy ,1,nl,Wil een rekening openen maar geraak…,"Wil een rekening openen maar geraak niet verder dan de laatste pagina. Ik zou iets niet ingevuld hebben, terwijl dit wel is. Heb het opgegeven...",2024-04-21,BE,Neutral,"The customer found the product engaging but didn't expect more than what was provided on the last page, despite it being satisfactory.",Neutral
marc vandriessche,1,nl,plotseling blokeren van al mijn rekeningen ,"plotseling blokeren van al mijn rekeningen zonder boe of ba geen tel geen bericht via email of op mijn acount interne post niets
na 3 weken an email dat ik mijn adres niet had aangepast bij mijn verhuis
ik heb nog twee andere banken had ik ook niet gedaan maar daar absoluut geen probleem,mailtje gestuurd met de nodige doc en hub alles ok en dit zonder de rekeningen te blokeren
keytrade trachten te contacteren tot mijn verbazing permanent gesloten 
ik denk dat ze in slechte papieren zitten en dat ik mijn geld kwijt ben
wat een slechte bank GEEN AANRADER ondanks hun reklame NIET DOEN IS MIJN ADVIES",2024-04-17,FR,1. **Sentiment:** Negative,"2. **Summary:** The customer had issues with emails not being sent out, and faced problems at two other banks due to their email service. They were advised by Keytrade to contact the bank directly.",Negative
Eric Odeurs,5,nl,Alles gaat heel vlot,"Alles gaat heel vlot, kosten zijn niet te hoog",2024-04-16,BE,Neutral,"The customer found everything satisfactory, mentioning that the cost was not high.",Neutral
Eliane,1,nl,Wat een klucht…,"Wat een klucht…
De aanvraag voor een bankkaart en het installeren van de bijbehorende app voor mijn dochter geraakt niet opgelost. Sinds juli vorig jaar heb ik herhaaldelijk contact opgenomen via e-mail en telefoon om deze kwestie op te lossen, maar tot op heden is er geen vooruitgang. Geen enkele QR-code werkt, geen enkele herstelcode werkt, na kantooruren zo goed als niet bereikbaar (alhoewel op alle briefwisseling het telefoonnummer staat) enz …
Ik raad deze bank ten zeerste af… ik stop er alleszins mee…


",2024-04-16,BE,Negative,"The customer had a very bad experience with the bank. They were annoyed to find out that their deposit had been lost and they did not receive any updates via email or phone. Little progress was made in resolving these issues, as indicated by poor-quality QR codes and unhelpful notes on phone calls. Despite this dissatisfaction, the customer seems ready to take action and is upset about the inconvenience.",Negative
Andrew Sandele,1,nl,Valse reklame,"Gratis bank en kredietkaart?(basis)Kredietkaart geweigerd terwijl al jaren Gold bij andere bank...
Valse reklame.",2024-04-13,IT,Negative,The customer is expressing dissatisfaction with their bank and credit card services. They mention that they've been charged for a service previously provided by another bank and express disappointment at the change.,Negative
Hendrik Defoort,5,nl,Duidelijke website,"Duidelijke website, het verdienmodel bij verrichtingen met de rekening",2024-04-09,BE,Positive,The website is delightful and has a great model for servicing with excellent recommendations.,Positive
S VdVeken,5,nl,Duidelijk en handig,Fijne aangename en handige app waar zeer veel zelf geregeld kan worden. Indien je ergens vastloopt is snelle en duidelijke hulp te beschikking. Zeer tevreden van de service en de bankdiensten in totaliteit.,2024-04-06,BE,Positive,"The customer is satisfied with the service and the app, praising its ease of use and helpful features.",Positive
Roland,4,nl,gebruiksvriendelijk,"gebruiksvriendelijk, alhoewel er soms meer vragen zijn, maar dat is te wijten aan de hogere leeftijd waarin ik me bevind.",2024-04-06,BE,N/A,,N/a
Jozef,5,nl,Goedkoop bankieren zonder rompslomp,Online werkt uitstekend. Informatie vlot beschikbaar. Goedkoop bankieren,2024-04-05,BE,Positive,The customer is satisfied with the service and finds it helpful.,Positive
Ferry Furniere,5,nl,Nieuwe debetkaart,Ik ontving een nieuwe debetkaart met de nodige richtlijnen om die in gebruik te nemen,2024-04-05,NL,1. **Sentiment:** Positive,"2. **Summary:** ""I'm having a new debit card with nice features to use it.""",Positive
Olivier Van meerhaeghe,1,nl,Blijkbaar lukt het niet om een…,Blijkbaar lukt het niet om een overschrijving te doen met de app.,2024-04-05,BE,N/A,"2. **Summary**: The customer found the experience lacking when attempting to add a review with an overly verbose comment about the app, suggesting dissatisfaction with the user interface or content provision within the app.",N/a
Erwin,2,nl,Geld van uw rekeningen overschrijven…,Geld van uw rekeningen overschrijven naar andere bank duurt meestal vrij lang tegen dat die uitgevoerd zijn.,2024-04-05,BE,Positive,The customer is pleased with their service and appreciates that the changes made are acknowledged.,Positive
Peter Pollet,1,nl,Blijf aub weg van deze bank,"Blijf aub weg van deze bank.   Ondermaatse service.  Een helpdesk de naam onwaardig.  Ik ben/was al meer dan 20 jaar klant, maar ik transfereer deze week alles naar een deftige bank en schrap mijn rekening.  ",2024-04-04,BE,Positive,The customer is satisfied with the bank's services and experiences positive feelings about their long-term relationship. They also appreciate the helpdesk as it makes their transactions easier.,Positive
Henk,3,nl,Oude versie van de app werkte sneller,Oude versie van de app werkte sneller,2024-04-04,BE,Positive,The old version of the app worked faster.,Positive
Paul Caudron,5,nl,"Top service,bedankt","Top service,bedankt ",2024-04-04,BE,Positive,The customer expresses satisfaction with top service and gratitude.,Positive
Bernard,5,nl,Heel tevreden,"Tevreden, rap en goed.
De intrest mag nog hoger.",2024-03-28,TR,Positive,The customer finds the product great and enjoyable.,Positive
Nic,3,nl,Aandelen en etfs aankopen,"Aandelen en etfs aankopen op andere dan de Brusselse beurs, is veel te duur, zeker voor kleinere bedragen",2024-03-28,BE,1. **Sentiment:** Neutral,"2. **Summary:** The customer is expressing that they have enjoyed their experience and found it to be satisfactory, mentioning that it differs from the experiences at other places, particularly in Brussels.",Neutral
Verbiest,4,nl,Payconiq werkt niet helemaal ,Het zou een 5 zijn mocht je terug payconiq volledig kunnen gebruiken met een Keytrade rekening. Wanneer komt hier eindelijk een oplossing voor ? ,2024-03-26,BE,Negative,The customer is unhappy with Keytrade because they experienced issues while using their Keytrade rekening device.,Negative
